,The Getty Center,Griffith Observatory,Walt Disney Concert Hall,Hollywood Sign,Hollywood Walk of Fame,Nethercutt Museum,Los Angeles County Museum of Art,Staples Center,Magic and Wine Tasting with David Minkin,Universal Studios Hollywood,Griffith Park,Venice Canals Walkway,Santa Monica Bay,Runyon Canyon Park,Topanga State Park,Will Rogers State Historic Park,Bike Tours Hollywood,Los Angeles Urban Adventures,Pacific Blue Air,Double Tree Hotel
The Getty Center,0,20.625,18.125,16.875,16.875,18.125,11.875,16.25,16.875,15,19.375,11.25,10,10.625,20.625,7.5,11.25,16.875,16.875,17.5
Griffith Observatory,20,0,6.875,5.625,4.375,22.5,8.75,8.75,3.75,7.5,4.375,20.625,19.375,5.625,31.25,23.125,4.375,3.75,19.375,8.125
Walt Disney Concert Hall,18.125,6.875,0,8.125,6.25,24.375,6.875,1.875,6.25,9.375,7.5,17.5,16.25,8.125,27.5,20,6.25,5.625,13.125,0.625
Hollywood Sign,16.25,5.625,8.125,0,3.125,18.75,7.5,9.375,2.5,3.75,6.875,25.625,23.75,5,27.5,21.875,3.125,2.5,20.625,8.75
Hollywood Walk of Fame,16.25,4.375,6.25,3.125,0,18.75,4.375,7.5,0,3.75,5,13.125,15.625,1.25,27.5,22.5,0.625,0,18.75,6.875
Nethercutt Museum,18.125,22.5,24.375,18.125,18.75,0,22.5,25.625,18.75,16.875,21.875,26.875,25.625,18.75,29.375,23.75,18.75,18.75,33.125,25
Los Angeles County Museum of Art,11.875,8.75,6.875,8.125,4.375,22.5,0,6.25,4.375,7.5,9.375,8.75,10.625,3.75,21.25,14.375,3.75,4.375,12.5,7.5
Staples Center,16.25,7.5,1.875,10,7.5,25.625,6.875,0,7.5,11.25,9.375,16.25,15,9.375,26.25,18.75,8.125,7.5,11.25,1.875
Magic and Wine Tasting with David Minkin,16.25,4.375,6.25,2.5,0,18.75,4.375,7.5,0,3.75,5,13.125,15.625,1.875,27.5,21.875,0.625,0,18.75,6.875
Universal Studios Hollywood,14.375,7.5,9.375,3.125,3.75,16.875,6.875,10.625,3.125,0,8.125,23.75,21.875,3.75,25.625,20,3.125,3.125,21.875,10
Griffith Park,18.75,4.375,7.5,8.125,5,21.25,9.375,8.75,5,8.125,0,23.75,23.125,6.25,29.375,24.375,5.625,5,20,8.125
Venice Canals Walkway,11.25,20,17.5,25.625,13.125,26.875,8.75,15.625,13.125,23.75,23.75,0,3.125,12.5,14.375,6.875,12.5,13.125,11.875,16.875
Santa Monica Bay,9.375,19.375,16.25,24.375,15.625,25.625,10,14.375,15.625,22.5,22.5,3.125,0,13.75,11.875,4.375,14.375,15.625,15.625,16.25
Runyon Canyon Park,11.25,5.625,8.125,5,1.25,18.75,3.75,9.375,1.875,3.75,6.25,12.5,13.75,0,27.5,14.375,1.25,1.875,20.625,8.75
Topanga State Park,20.625,31.875,27.5,27.5,28.125,28.75,21.25,25.625,27.5,25.625,30,14.375,11.875,28.125,0,11.875,27.5,27.5,26.875,27.5
Will Rogers State Historic Park,7.5,23.125,20,22.5,15,23.75,14.375,18.75,15,20.625,26.875,6.875,4.375,14.375,11.875,0,14.375,15,19.375,20
Bike Tours Hollywood,16.875,4.375,6.875,3.75,0.625,18.75,4.375,8.125,0.625,3.75,5.625,12.5,14.375,1.25,27.5,14.375,0,0.625,18.75,7.5
Los Angeles Urban Adventures,16.875,3.75,6.25,2.5,0,18.75,4.375,7.5,0,3.75,5,13.125,15.625,1.875,27.5,15,0.625,0,18.75,6.875
Pacific Blue Air,16.875,19.375,13.125,20.625,18.125,33.125,12.5,11.875,18.75,21.875,20,11.875,15.625,20.625,26.25,19.375,18.75,18.125,0,13.125
Double Tree Hotel,17.5,8.125,0.625,8.75,6.875,25,7.5,1.875,6.875,10,8.125,16.875,16.25,8.75,27.5,20,7.5,6.875,13.125,0
