,The Getty Center,Santa Monica Pier,Will Rogers State Historic Park,Magic and Wine Tasting with David Minkin,Universal Studios Hollywood,Runyon Canyon Park,Topanga State Park,Los Angeles Urban Adventures,Pacific Blue Air,Griffith Observatory and Park,Los Angeles County Museum of Art,Staples Center,Venice Canals Walkway,Bike Tours Hollywood,Walt Disney Concert Hall,Hollywood Sign,Nethercutt Museum,Hollywood Walk of Fame,Warner Brothers Studios,Autry National Center,Olvera Street,The Original Farmers Market,Petersen Automotive Museum,Mulholland Drive,TCL Chinese Theatres,Dolby Theatre,Rodeo Drive,Double Tree Hotel
The Getty Center,0,0.316666667,0.35,0.433333333,0.416666667,0.45,0.616666667,0.45,0.433333333,0.583333333,0.383333333,0.416666667,0.383333333,0.45,0.45,0.483333333,0.416666667,0.433333333,0.4,0.45,0.45,0.383333333,0.366666667,0.35,0.45,0.45,0.266666667,0.466666667
Santa Monica Pier,0.3,0,0.183333333,0.466666667,0.533333333,0.466666667,0.383333333,0.466666667,0.383333333,0.616666667,0.333333333,0.35,0.15,0.466666667,0.383333333,0.616666667,0.55,0.466666667,0.516666667,0.533333333,0.4,0.333333333,0.316666667,0.483333333,0.466666667,0.45,0.266666667,0.416666667
Will Rogers State Historic Park,0.3,0.166666667,0,0.583333333,0.55,0.516666667,0.4,0.516666667,0.466666667,0.7,0.416666667,0.45,0.266666667,0.55,0.483333333,0.633333333,0.55,0.566666667,0.533333333,0.583333333,0.483333333,0.433333333,0.416666667,0.5,0.516666667,0.516666667,0.333333333,0.5
Magic and Wine Tasting with David Minkin,0.383333333,0.5,0.583333333,0,0.133333333,0.1,0.683333333,0.083333333,0.45,0.2,0.216666667,0.2,0.583333333,0.033333333,0.15,0.166666667,0.35,0,0.133333333,0.216666667,0.166666667,0.2,0.216666667,0.283333333,0.066666667,0.05,0.3,0.183333333
Universal Studios Hollywood,0.4,0.566666667,0.583333333,0.116666667,0,0.166666667,0.683333333,0.133333333,0.516666667,0.266666667,0.316666667,0.266666667,0.633333333,0.133333333,0.216666667,0.166666667,0.366666667,0.116666667,0.116666667,0.216666667,0.233333333,0.283333333,0.316666667,0.283333333,0.133333333,0.116666667,0.366666667,0.25
Runyon Canyon Park,0.466666667,0.483333333,0.566666667,0.083333333,0.183333333,0,0.733333333,0.033333333,0.516666667,0.25,0.183333333,0.266666667,0.566666667,0.066666667,0.216666667,0.233333333,0.4,0.1,0.183333333,0.283333333,0.233333333,0.15,0.183333333,0.25,0.033333333,0.05,0.233333333,0.25
Topanga State Park,0.583333333,0.366666667,0.383333333,0.666666667,0.65,0.716666667,0,0.683333333,0.666666667,0.816666667,0.616666667,0.633333333,0.466666667,0.683333333,0.666666667,0.716666667,0.666666667,0.666666667,0.633333333,0.683333333,0.683333333,0.616666667,0.6,0.65,0.683333333,0.666666667,0.55,0.7
Los Angeles Urban Adventures,0.416666667,0.5,0.583333333,0.066666667,0.166666667,0.033333333,0.716666667,0,0.5,0.233333333,0.183333333,0.25,0.566666667,0.05,0.2,0.216666667,0.383333333,0.066666667,0.166666667,0.266666667,0.216666667,0.15,0.183333333,0.25,0.016666667,0.016666667,0.233333333,0.233333333
Pacific Blue Air,0.4,0.366666667,0.483333333,0.4,0.516666667,0.483333333,0.666666667,0.466666667,0,0.516666667,0.383333333,0.266666667,0.316666667,0.45,0.3,0.55,0.65,0.416666667,0.516666667,0.45,0.316666667,0.383333333,0.366666667,0.583333333,0.45,0.45,0.366666667,0.316666667
Griffith Observatory and Park,0.55,0.633333333,0.766666667,0.183333333,0.283333333,0.266666667,0.85,0.233333333,0.533333333,0,0.383333333,0.3,0.7,0.216666667,0.25,0.283333333,0.5,0.183333333,0.266666667,0.183333333,0.266666667,0.366666667,0.383333333,0.433333333,0.233333333,0.216666667,0.466666667,0.266666667
Los Angeles County Museum of Art,0.366666667,0.333333333,0.45,0.2,0.333333333,0.166666667,0.633333333,0.166666667,0.383333333,0.366666667,0,0.266666667,0.4,0.183333333,0.316666667,0.366666667,0.55,0.183333333,0.333333333,0.4,0.316666667,0.033333333,0.016666667,0.333333333,0.166666667,0.166666667,0.166666667,0.333333333
Staples Center,0.45,0.4,0.516666667,0.2,0.316666667,0.283333333,0.716666667,0.266666667,0.266666667,0.316666667,0.3,0,0.466666667,0.25,0.083333333,0.35,0.533333333,0.216666667,0.316666667,0.25,0.116666667,0.316666667,0.283333333,0.466666667,0.25,0.25,0.4,0.116666667
Venice Canals Walkway,0.35,0.15,0.3,0.533333333,0.6,0.516666667,0.483333333,0.516666667,0.316666667,0.666666667,0.383333333,0.4,0,0.533333333,0.433333333,0.666666667,0.6,0.533333333,0.583333333,0.583333333,0.45,0.383333333,0.366666667,0.533333333,0.516666667,0.516666667,0.316666667,0.45
Bike Tours Hollywood,0.416666667,0.5,0.6,0.033333333,0.166666667,0.066666667,0.716666667,0.05,0.466666667,0.216666667,0.2,0.233333333,0.583333333,0,0.183333333,0.2,0.383333333,0.033333333,0.166666667,0.25,0.2,0.166666667,0.216666667,0.283333333,0.016666667,0.016666667,0.266666667,0.216666667
Walt Disney Concert Hall,0.466666667,0.416666667,0.55,0.15,0.266666667,0.233333333,0.733333333,0.216666667,0.316666667,0.266666667,0.3,0.1,0.483333333,0.2,0,0.3,0.483333333,0.166666667,0.266666667,0.2,0.033333333,0.283333333,0.316666667,0.416666667,0.2,0.2,0.4,0.033333333
Hollywood Sign,0.466666667,0.633333333,0.666666667,0.166666667,0.2,0.25,0.766666667,0.216666667,0.55,0.3,0.366666667,0.316666667,0.7,0.2,0.266666667,0,0.433333333,0.166666667,0.166666667,0.25,0.283333333,0.35,0.383333333,0.35,0.216666667,0.2,0.45,0.283333333
Nethercutt Museum,0.4,0.566666667,0.583333333,0.366666667,0.35,0.416666667,0.7,0.383333333,0.683333333,0.516666667,0.566666667,0.516666667,0.633333333,0.366666667,0.466666667,0.416666667,0,0.366666667,0.316666667,0.366666667,0.483333333,0.516666667,0.566666667,0.433333333,0.383333333,0.366666667,0.516666667,0.5
Hollywood Walk of Fame,0.4,0.5,0.583333333,0,0.133333333,0.1,0.683333333,0.083333333,0.45,0.183333333,0.216666667,0.2,0.566666667,0.033333333,0.15,0.166666667,0.35,0,0.133333333,0.216666667,0.166666667,0.2,0.216666667,0.283333333,0.05,0.05,0.3,0.183333333
Warner Brothers Studios,0.35,0.516666667,0.55,0.15,0.133333333,0.183333333,0.65,0.166666667,0.516666667,0.283333333,0.333333333,0.283333333,0.583333333,0.15,0.233333333,0.15,0.316666667,0.133333333,0,0.116666667,0.25,0.3,0.333333333,0.25,0.15,0.15,0.4,0.25
Autry National Center,0.416666667,0.583333333,0.6,0.233333333,0.216666667,0.283333333,0.7,0.25,0.483333333,0.216666667,0.416666667,0.25,0.65,0.233333333,0.216666667,0.233333333,0.383333333,0.233333333,0.116666667,0,0.216666667,0.383333333,0.433333333,0.3,0.25,0.233333333,0.483333333,0.216666667
Olvera Street,0.466666667,0.433333333,0.55,0.166666667,0.266666667,0.25,0.733333333,0.216666667,0.333333333,0.283333333,0.316666667,0.1,0.483333333,0.2,0.05,0.3,0.5,0.166666667,0.266666667,0.216666667,0,0.3,0.316666667,0.416666667,0.216666667,0.2,0.4,0.033333333
The Original Farmers Market,0.4,0.35,0.466666667,0.183333333,0.316666667,0.15,0.666666667,0.15,0.416666667,0.366666667,0.05,0.283333333,0.433333333,0.166666667,0.283333333,0.366666667,0.533333333,0.183333333,0.316666667,0.383333333,0.3,0,0.05,0.3,0.15,0.15,0.166666667,0.316666667
Petersen Automotive Museum,0.366666667,0.316666667,0.433333333,0.216666667,0.35,0.166666667,0.633333333,0.166666667,0.366666667,0.383333333,0.033333333,0.266666667,0.383333333,0.2,0.283333333,0.383333333,0.566666667,0.2,0.35,0.416666667,0.3,0.05,0,0.333333333,0.166666667,0.183333333,0.15,0.3
Mulholland Drive,0.316666667,0.483333333,0.5,0.3,0.266666667,0.25,0.666666667,0.25,0.6,0.45,0.35,0.45,0.533333333,0.283333333,0.4,0.35,0.433333333,0.3,0.25,0.3,0.416666667,0.316666667,0.333333333,0,0.25,0.266666667,0.233333333,0.416666667
TCL Chinese Theatres,0.433333333,0.5,0.583333333,0.066666667,0.183333333,0.05,0.716666667,0.033333333,0.5,0.25,0.183333333,0.266666667,0.566666667,0.033333333,0.216666667,0.216666667,0.4,0.05,0.166666667,0.266666667,0.233333333,0.15,0.183333333,0.25,0,0,0.25,0.233333333
Dolby Theatre,0.416666667,0.5,0.583333333,0.05,0.166666667,0.05,0.716666667,0.033333333,0.5,0.233333333,0.2,0.25,0.566666667,0.016666667,0.2,0.216666667,0.383333333,0.05,0.166666667,0.266666667,0.216666667,0.15,0.216666667,0.266666667,0,0,0.25,0.233333333
Rodeo Drive,0.25,0.283333333,0.366666667,0.283333333,0.383333333,0.216666667,0.6,0.216666667,0.4,0.45,0.166666667,0.35,0.366666667,0.233333333,0.383333333,0.433333333,0.516666667,0.266666667,0.383333333,0.483333333,0.4,0.15,0.15,0.233333333,0.216666667,0.216666667,0,0.416666667
Double Tree Hotel,0.483333333,0.433333333,0.55,0.166666667,0.266666667,0.25,0.75,0.216666667,0.333333333,0.283333333,0.316666667,0.1,0.5,0.2,0.033333333,0.316666667,0.5,0.166666667,0.283333333,0.216666667,0.05,0.3,0.316666667,0.416666667,0.216666667,0.216666667,0.416666667,0
